,total_load,temperature_F
2005-01-01 00:00:00,96.7,64.56
2005-01-01 01:00:00,87.0,64.4
2005-01-01 02:00:00,121.8,46.0
2005-01-01 03:00:00,78.2,63.64
2005-01-01 04:00:00,76.6,63.44
2005-01-01 05:00:00,76.5,63.4
2005-01-01 06:00:00,79.3,63.36
2005-01-01 07:00:00,84.7,63.36
2005-01-01 08:00:00,91.7,64.32
2005-01-01 09:00:00,135.0,48.12
2005-01-01 10:00:00,134.4,53.8
2005-01-01 11:00:00,128.7,59.08
2005-01-01 12:00:00,123.8,75.0
2005-01-01 13:00:00,129.9,76.64
2005-01-01 14:00:00,136.6,77.64
2005-01-01 15:00:00,101.1,67.96
2005-01-01 16:00:00,146.2,78.24
2005-01-01 17:00:00,147.0,77.88
2005-01-01 18:00:00,114.4,58.84
2005-01-01 19:00:00,122.4,55.52
2005-01-01 20:00:00,139.4,70.96
2005-01-01 21:00:00,134.7,69.64
2005-01-01 22:00:00,119.2,50.24
2005-01-01 23:00:00,114.5,48.52
2005-01-02 00:00:00,107.9,48.36
2005-01-02 01:00:00,88.6,63.6
2005-01-02 02:00:00,99.6,46.64
2005-01-02 03:00:00,99.2,46.4
2005-01-02 04:00:00,101.2,45.12
2005-01-02 05:00:00,103.9,44.84
2005-01-02 06:00:00,76.2,60.76
2005-01-02 07:00:00,116.9,44.84
2005-01-02 08:00:00,87.9,61.64
2005-01-02 09:00:00,142.2,49.64
2005-01-02 10:00:00,137.1,55.48
2005-01-02 11:00:00,117.5,73.76
2005-01-02 12:00:00,121.0,76.64
2005-01-02 13:00:00,101.2,65.48
2005-01-02 14:00:00,135.4,79.12
2005-01-02 15:00:00,141.0,79.64
2005-01-02 16:00:00,144.1,79.56
2005-01-02 17:00:00,95.5,62.6
2005-01-02 18:00:00,112.4,58.04
2005-01-02 19:00:00,134.1,72.96
2005-01-02 20:00:00,122.5,53.96
2005-01-02 21:00:00,136.6,68.12
2005-01-02 22:00:00,118.6,51.2
2005-01-02 23:00:00,109.1,65.28
2005-01-03 00:00:00,94.7,64.6
2005-01-03 01:00:00,96.7,47.64
2005-01-03 02:00:00,79.2,62.08
2005-01-03 03:00:00,95.0,46.6
2005-01-03 04:00:00,76.0,60.92
2005-01-03 05:00:00,77.7,61.12
2005-01-03 06:00:00,114.3,45.84
2005-01-03 07:00:00,130.4,45.96
2005-01-03 08:00:00,136.4,46.12
2005-01-03 09:00:00,131.3,50.56
2005-01-03 10:00:00,107.4,68.64
2005-01-03 11:00:00,111.1,61.24
2005-01-03 12:00:00,117.9,75.96
2005-01-03 13:00:00,123.6,77.8
2005-01-03 14:00:00,128.9,79.24
2005-01-03 15:00:00,89.3,67.4
2005-01-03 16:00:00,138.9,80.16
2005-01-03 17:00:00,92.3,63.92
2005-01-03 18:00:00,112.1,60.96
2005-01-03 19:00:00,125.7,59.2
2005-01-03 20:00:00,157.2,72.4
2005-01-03 21:00:00,122.9,57.92
2005-01-03 22:00:00,138.0,69.16
2005-01-03 23:00:00,105.9,56.2
2005-01-04 00:00:00,93.9,56.44
2005-01-04 01:00:00,84.9,56.44
2005-01-04 02:00:00,85.7,66.28
2005-01-04 03:00:00,82.7,65.96
2005-01-04 04:00:00,80.1,55.92
2005-01-04 05:00:00,83.5,55.4
2005-01-04 06:00:00,93.3,55.48
2005-01-04 07:00:00,111.8,55.36
2005-01-04 08:00:00,114.6,55.76
2005-01-04 09:00:00,105.7,57.92
2005-01-04 10:00:00,98.9,61.88
2005-01-04 11:00:00,122.2,73.16
2005-01-04 12:00:00,92.4,68.88
2005-01-04 13:00:00,89.9,70.36
2005-01-04 14:00:00,89.0,71.88
2005-01-04 15:00:00,87.0,71.96
2005-01-04 16:00:00,143.1,79.28
2005-01-04 17:00:00,90.3,68.48
2005-01-04 18:00:00,107.9,63.96
2005-01-04 19:00:00,149.8,74.84
2005-01-04 20:00:00,119.4,61.24
2005-01-04 21:00:00,114.5,60.72
2005-01-04 22:00:00,107.8,59.96
2005-01-04 23:00:00,125.5,70.4
2005-01-05 00:00:00,109.3,70.12
2005-01-05 01:00:00,98.1,70.04
2005-01-05 02:00:00,71.4,57.24
2005-01-05 03:00:00,69.8,56.24
2005-01-05 04:00:00,87.8,69.76
2005-01-05 05:00:00,89.4,69.96
2005-01-05 06:00:00,86.1,55.4
2005-01-05 07:00:00,117.0,70.0
2005-01-05 08:00:00,120.6,70.36
2005-01-05 09:00:00,101.1,58.2
2005-01-05 10:00:00,124.0,73.72
2005-01-05 11:00:00,90.8,64.96
2005-01-05 12:00:00,139.6,77.36
2005-01-05 13:00:00,148.1,78.76
2005-01-05 14:00:00,155.0,79.0
2005-01-05 15:00:00,159.5,79.6
2005-01-05 16:00:00,160.5,79.24
2005-01-05 17:00:00,158.3,78.48
2005-01-05 18:00:00,108.1,62.4
2005-01-05 19:00:00,160.6,75.36
2005-01-05 20:00:00,167.0,73.8
2005-01-05 21:00:00,160.2,73.0
2005-01-05 22:00:00,148.6,72.32
2005-01-05 23:00:00,131.7,72.08
2005-01-06 00:00:00,115.4,72.16
2005-01-06 01:00:00,103.9,72.4
2005-01-06 02:00:00,74.8,57.64
2005-01-06 03:00:00,73.7,57.52
2005-01-06 04:00:00,74.3,57.52
2005-01-06 05:00:00,78.2,57.92
2005-01-06 06:00:00,102.0,72.32
2005-01-06 07:00:00,121.9,72.4
2005-01-06 08:00:00,112.9,58.16
2005-01-06 09:00:00,127.3,73.88
2005-01-06 10:00:00,97.0,62.84
2005-01-06 11:00:00,92.5,65.12
2005-01-06 12:00:00,89.9,67.04
2005-01-06 13:00:00,87.0,68.08
2005-01-06 14:00:00,85.7,69.12
2005-01-06 15:00:00,84.1,69.0
2005-01-06 16:00:00,84.7,68.28
2005-01-06 17:00:00,90.2,66.44
2005-01-06 18:00:00,161.3,74.84
2005-01-06 19:00:00,165.0,73.4
2005-01-06 20:00:00,117.8,64.2
2005-01-06 21:00:00,113.9,63.4
2005-01-06 22:00:00,106.8,62.56
2005-01-06 23:00:00,140.0,72.48
2005-01-07 00:00:00,81.8,60.48
2005-01-07 01:00:00,72.8,59.68
2005-01-07 02:00:00,68.8,58.8
2005-01-07 03:00:00,67.1,57.64
2005-01-07 04:00:00,96.2,71.72
2005-01-07 05:00:00,97.5,71.84
2005-01-07 06:00:00,104.1,72.04
2005-01-07 07:00:00,123.2,72.16
2005-01-07 08:00:00,128.9,72.24
2005-01-07 09:00:00,125.5,72.68
2005-01-07 10:00:00,98.1,57.12
2005-01-07 11:00:00,94.1,59.12
2005-01-07 12:00:00,90.6,60.48
2005-01-07 13:00:00,87.1,61.32
2005-01-07 14:00:00,128.6,74.8
2005-01-07 15:00:00,83.5,61.52
2005-01-07 16:00:00,85.2,60.64
2005-01-07 17:00:00,131.2,75.0
2005-01-07 18:00:00,135.0,74.52
2005-01-07 19:00:00,129.6,55.28
2005-01-07 20:00:00,148.2,74.24
2005-01-07 21:00:00,145.1,74.04
2005-01-07 22:00:00,139.3,74.24
2005-01-07 23:00:00,131.6,74.28
2005-01-08 00:00:00,121.4,74.24
2005-01-08 01:00:00,111.9,74.32
2005-01-08 02:00:00,106.0,74.16
2005-01-08 03:00:00,91.1,51.8
2005-01-08 04:00:00,89.6,51.8
2005-01-08 05:00:00,100.4,73.48
2005-01-08 06:00:00,94.4,52.84
2005-01-08 07:00:00,100.7,53.64
2005-01-08 08:00:00,109.3,54.72
2005-01-08 09:00:00,120.1,57.08
2005-01-08 10:00:00,137.1,73.6
2005-01-08 11:00:00,116.7,63.48
2005-01-08 12:00:00,107.6,65.96
2005-01-08 13:00:00,143.0,76.04
2005-01-08 14:00:00,145.2,77.04
2005-01-08 15:00:00,93.5,66.96
2005-01-08 16:00:00,153.4,78.08
2005-01-08 17:00:00,156.9,77.6
2005-01-08 18:00:00,159.5,76.64
2005-01-08 19:00:00,159.3,74.88
2005-01-08 20:00:00,165.9,73.56
2005-01-08 21:00:00,108.2,56.96
2005-01-08 22:00:00,106.0,55.52
2005-01-08 23:00:00,101.7,53.56
2005-01-09 00:00:00,127.1,70.44
2005-01-09 01:00:00,91.8,50.72
2005-01-09 02:00:00,90.6,48.56
2005-01-09 03:00:00,92.7,47.12
2005-01-09 04:00:00,95.5,45.6
2005-01-09 05:00:00,100.4,44.56
2005-01-09 06:00:00,106.4,44.0
2005-01-09 07:00:00,116.5,43.24
2005-01-09 08:00:00,133.5,43.04
2005-01-09 09:00:00,149.3,44.84
2005-01-09 10:00:00,147.2,47.24
2005-01-09 11:00:00,132.6,49.32
2005-01-09 12:00:00,127.1,69.76
2005-01-09 13:00:00,110.5,52.24
2005-01-09 14:00:00,127.0,71.12
2005-01-09 15:00:00,105.3,53.2
2005-01-09 16:00:00,104.4,53.12
2005-01-09 17:00:00,111.9,52.08
2005-01-09 18:00:00,124.6,69.72
2005-01-09 19:00:00,130.0,68.6
2005-01-09 20:00:00,137.0,67.92
2005-01-09 21:00:00,134.0,67.24
2005-01-09 22:00:00,137.8,44.16
2005-01-09 23:00:00,111.8,66.32
