,total_load,temperature_F,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,is_weekend,is_holiday_MA,lag_1h,lag_24h,lag_168h,temperature_lag_24h
2007-01-08 00:00:00,88.0,63.84,0.0,1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,149.5,130.8,101.4,68.68
2007-01-08 01:00:00,115.3,68.84,0.25881904510252074,0.9659258262890683,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,88.0,85.2,100.4,51.68
2007-01-08 02:00:00,107.3,68.24,0.49999999999999994,0.8660254037844387,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,115.3,106.8,86.2,67.28
2007-01-08 03:00:00,71.6,64.32,0.7071067811865475,0.7071067811865476,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,107.3,81.2,83.9,49.04
2007-01-08 04:00:00,71.3,64.32,0.8660254037844386,0.5000000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,71.6,96.2,83.3,65.72
2007-01-08 05:00:00,73.8,63.76,0.9659258262890683,0.25881904510252074,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,71.3,94.3,85.3,65.8
2007-01-08 06:00:00,82.7,63.12,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,73.8,91.4,93.9,47.6
2007-01-08 07:00:00,103.7,62.48,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,82.7,100.9,112.8,46.8
2007-01-08 08:00:00,126.3,67.04,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,103.7,115.4,116.8,48.96
2007-01-08 09:00:00,98.8,59.28,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,126.3,130.7,116.3,53.32
2007-01-08 10:00:00,98.8,58.32,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,98.8,131.5,118.1,57.12
