seed,converged_epoch,best_val_loss,mae_mwh,pred_min_mwh,pred_max_mwh,pred_std_mwh
0,63,0.000241,4.4821,74.44,310.75,50.98
1,59,0.000247,4.3291,71.35,314.33,51.34
2,100,0.000173,3.9156,72.59,310.51,51.7
3,70,0.000223,4.0253,61.3,308.95,51.45
4,90,0.000183,4.191,72.0,314.28,52.08
5,60,0.000251,4.4071,58.01,313.44,51.02
6,100,0.000174,4.0398,72.61,310.88,52.03
7,81,0.00018,4.1759,72.39,308.65,51.47
8,100,0.000153,3.9772,71.75,308.0,50.77
9,61,0.000243,4.5343,57.12,307.75,50.64
10,100,0.000181,4.0336,69.44,309.98,51.93
11,21,0.000533,5.5923,72.28,308.75,50.19
12,39,0.000299,4.6195,70.77,313.75,51.92
13,18,0.000566,5.8769,69.17,303.47,50.06
14,78,0.000217,4.2419,72.27,311.14,51.02
15,64,0.000233,4.16,57.26,308.67,51.33
16,56,0.000259,4.4734,67.83,309.54,52.17
17,70,0.000213,4.1543,72.41,309.09,51.48
18,49,0.000288,4.5463,72.65,312.63,52.03
19,93,0.000196,3.9283,72.48,314.58,51.62
