seed,converged_epoch,best_val_loss,mae_mwh,pred_min_mwh,pred_max_mwh,pred_std_mwh
0,41,0.000222,19.056,322.03,1726.85,325.13
1,47,0.000188,18.392,298.33,1726.28,323.57
2,37,0.000193,17.8568,326.41,1727.17,323.56
3,44,0.000203,18.1243,301.8,1718.82,322.73
4,39,0.000188,17.7148,312.56,1723.23,318.95
5,52,0.000189,18.8883,313.77,1728.34,323.77
6,62,0.000182,18.7014,305.81,1725.36,319.7
7,48,0.000215,19.4833,298.74,1714.89,323.69
8,57,0.000176,20.3466,313.64,1686.76,314.6
9,44,0.000216,18.857,295.78,1737.37,324.44
10,39,0.000227,19.2442,291.33,1728.49,319.2
11,38,0.000231,19.8013,321.22,1718.57,323.43
12,43,0.000228,19.6439,292.15,1715.74,324.2
13,36,0.000217,19.0597,298.74,1723.68,322.96
14,33,0.00023,18.796,291.74,1717.98,318.66
15,44,0.000191,18.4142,291.6,1745.17,324.46
16,40,0.000203,19.0227,274.36,1732.63,322.94
17,40,0.00021,18.8217,301.65,1717.18,320.62
18,50,0.000183,18.6037,308.42,1704.27,316.14
19,45,0.000198,19.0583,292.27,1702.13,316.15
