grid,pct,proxy,n_extreme,rho,pval,significant
uci,70,P1,2578,0.1105,0.0,True
uci,70,P2,2578,-0.01,0.612262,False
uci,70,P3,2578,0.1204,0.0,True
uci,71,P1,2492,0.1006,0.0,True
uci,71,P2,2492,-0.009,0.654513,False
uci,71,P3,2492,0.1144,0.0,True
uci,72,P1,2406,0.0884,1.4e-05,True
uci,72,P2,2406,-0.0063,0.75752,False
uci,72,P3,2406,0.1009,1e-06,True
uci,73,P1,2320,0.0912,1.1e-05,True
uci,73,P2,2320,-0.0053,0.797217,False
uci,73,P3,2320,0.1017,1e-06,True
uci,74,P1,2234,0.0837,7.4e-05,True
uci,74,P2,2234,-0.001,0.961504,False
uci,74,P3,2234,0.0968,5e-06,True
uci,75,P1,2148,0.089,3.6e-05,True
uci,75,P2,2148,-0.0067,0.756195,False
uci,75,P3,2148,0.1017,2e-06,True
uci,76,P1,2062,0.0917,3e-05,True
uci,76,P2,2062,-0.0072,0.743177,False
uci,76,P3,2062,0.1034,3e-06,True
uci,77,P1,1976,0.1038,4e-06,True
uci,77,P2,1976,-0.008,0.722097,False
uci,77,P3,1976,0.0976,1.4e-05,True
uci,78,P1,1891,0.1018,9e-06,True
uci,78,P2,1891,-0.0055,0.809497,False
uci,78,P3,1891,0.0918,6.4e-05,True
uci,79,P1,1805,0.0876,0.000194,True
uci,79,P2,1805,-0.0131,0.576698,False
uci,79,P3,1805,0.0883,0.000173,True
uci,80,P1,1719,0.0725,0.002619,True
uci,80,P2,1719,-0.0127,0.599086,False
uci,80,P3,1719,0.0845,0.000455,True
uci,81,P1,1633,0.0571,0.020952,False
uci,81,P2,1633,0.0017,0.945106,False
uci,81,P3,1633,0.0826,0.000833,True
uci,82,P1,1547,0.0516,0.042584,False
uci,82,P2,1547,-0.0046,0.857143,False
uci,82,P3,1547,0.0849,0.000836,True
uci,83,P1,1461,0.0356,0.174227,False
uci,83,P2,1461,-0.01,0.701642,False
uci,83,P3,1461,0.0871,0.000857,True
uci,84,P1,1375,0.0489,0.069804,False
uci,84,P2,1375,-0.0226,0.40196,False
uci,84,P3,1375,0.0787,0.003505,True
uci,85,P1,1289,0.0404,0.147553,False
uci,85,P2,1289,-0.035,0.208679,False
uci,85,P3,1289,0.0708,0.010957,False
uci,86,P1,1203,0.0286,0.322048,False
uci,86,P2,1203,-0.0451,0.117861,False
uci,86,P3,1203,0.066,0.022001,False
uci,87,P1,1117,0.0254,0.396577,False
uci,87,P2,1117,-0.0538,0.072438,False
uci,87,P3,1117,0.0577,0.053952,False
uci,88,P1,1031,0.023,0.460377,False
uci,88,P2,1031,-0.0513,0.099686,False
uci,88,P3,1031,0.0529,0.089604,False
uci,89,P1,946,0.0103,0.750985,False
uci,89,P2,946,-0.0482,0.138393,False
uci,89,P3,946,0.0457,0.160505,False
uci,90,P1,876,0.0089,0.792935,False
uci,90,P2,876,-0.0543,0.10856,False
uci,90,P3,876,0.044,0.193296,False
uci,91,P1,774,-0.0124,0.729623,False
uci,91,P2,774,-0.0461,0.20012,False
uci,91,P3,774,0.048,0.182451,False
uci,92,P1,688,-0.013,0.733998,False
uci,92,P2,688,-0.0539,0.15755,False
uci,92,P3,688,0.0817,0.032076,False
uci,93,P1,602,-0.0468,0.25133,False
uci,93,P2,602,-0.0576,0.158134,False
uci,93,P3,602,0.0808,0.047524,False
uci,94,P1,516,-0.0771,0.080293,False
uci,94,P2,516,-0.0694,0.115409,False
uci,94,P3,516,0.0914,0.037936,False
uci,95,P1,430,-0.1103,0.022107,False
uci,95,P2,430,-0.0863,0.073908,False
uci,95,P3,430,0.0945,0.050294,False
uci,96,P1,344,-0.1679,0.001784,True
uci,96,P2,344,-0.103,0.056234,False
uci,96,P3,344,0.1103,0.040909,False
uci,97,P1,258,-0.2661,1.5e-05,True
uci,97,P2,258,-0.0553,0.376245,False
uci,97,P3,258,0.1264,0.042563,False
uci,98,P1,172,-0.288,0.000127,True
uci,98,P2,172,-0.0866,0.258791,False
uci,98,P3,172,0.1345,0.078626,False
gefcom,70,P1,2580,0.466,0.0,True
gefcom,70,P2,2580,-0.01,0.61172,False
gefcom,70,P3,2580,0.3984,0.0,True
gefcom,71,P1,2492,0.4665,0.0,True
gefcom,71,P2,2492,-0.0129,0.519507,False
gefcom,71,P3,2492,0.4031,0.0,True
gefcom,72,P1,2406,0.4697,0.0,True
gefcom,72,P2,2406,-0.0096,0.638431,False
gefcom,72,P3,2406,0.4032,0.0,True
gefcom,73,P1,2320,0.4724,0.0,True
gefcom,73,P2,2320,-0.0039,0.849529,False
gefcom,73,P3,2320,0.4122,0.0,True
gefcom,74,P1,2235,0.4786,0.0,True
gefcom,74,P2,2235,-0.0038,0.855911,False
gefcom,74,P3,2235,0.4158,0.0,True
gefcom,75,P1,2152,0.4871,0.0,True
gefcom,75,P2,2152,-0.008,0.709854,False
gefcom,75,P3,2152,0.4212,0.0,True
gefcom,76,P1,2064,0.4837,0.0,True
gefcom,76,P2,2064,-0.0025,0.90992,False
gefcom,76,P3,2064,0.4214,0.0,True
gefcom,77,P1,1979,0.4844,0.0,True
gefcom,77,P2,1979,0.0042,0.851728,False
gefcom,77,P3,1979,0.4163,0.0,True
gefcom,78,P1,1894,0.4901,0.0,True
gefcom,78,P2,1894,0.0103,0.655389,False
gefcom,78,P3,1894,0.4232,0.0,True
gefcom,79,P1,1810,0.4879,0.0,True
gefcom,79,P2,1810,0.0199,0.398359,False
gefcom,79,P3,1810,0.4224,0.0,True
gefcom,80,P1,1722,0.4933,0.0,True
gefcom,80,P2,1722,0.0184,0.446484,False
gefcom,80,P3,1722,0.4207,0.0,True
gefcom,81,P1,1636,0.494,0.0,True
gefcom,81,P2,1636,0.02,0.418789,False
gefcom,81,P3,1636,0.4229,0.0,True
gefcom,82,P1,1547,0.5053,0.0,True
gefcom,82,P2,1547,0.0224,0.379122,False
gefcom,82,P3,1547,0.4291,0.0,True
gefcom,83,P1,1462,0.5026,0.0,True
gefcom,83,P2,1462,0.0188,0.472791,False
gefcom,83,P3,1462,0.439,0.0,True
gefcom,84,P1,1377,0.4957,0.0,True
gefcom,84,P2,1377,0.0175,0.515613,False
gefcom,84,P3,1377,0.4425,0.0,True
gefcom,85,P1,1289,0.4849,0.0,True
