,conformal_lower,conformal_upper,conformal_width
2010-01-08 00:00:00,123.15793,133.36035,10.202423
2010-01-08 01:00:00,117.26301,127.46543,10.202423
2010-01-08 02:00:00,109.92334,120.12576,10.202423
2010-01-08 03:00:00,99.69365,109.89607,10.202423
2010-01-08 04:00:00,92.004234,102.20666,10.202423
2010-01-08 05:00:00,93.5844,103.78682,10.202423
2010-01-08 06:00:00,103.05854,113.26096,10.202423
2010-01-08 07:00:00,114.63825,124.840675,10.202423
2010-01-08 08:00:00,126.455765,136.65819,10.202423
2010-01-08 09:00:00,123.20758,133.41,10.202423
2010-01-08 10:00:00,116.40298,126.6054,10.202423
2010-01-08 11:00:00,116.103195,126.30562,10.202423
2010-01-08 12:00:00,117.36062,127.56304,10.202423
2010-01-08 13:00:00,115.73019,125.93261,10.202423
2010-01-08 14:00:00,111.811005,122.01343,10.202423
2010-01-08 15:00:00,128.24342,138.44585,10.202423
2010-01-08 16:00:00,141.83145,152.03387,10.202423
2010-01-08 17:00:00,169.35037,179.5528,10.202423
2010-01-08 18:00:00,170.41287,180.6153,10.202423
2010-01-08 19:00:00,211.6098,221.81223,10.202423
2010-01-08 20:00:00,205.34683,215.54926,10.202423
2010-01-08 21:00:00,165.77998,175.9824,10.202423
2010-01-08 22:00:00,184.00592,194.20834,10.202423
2010-01-08 23:00:00,215.27528,225.4777,10.202423
2010-01-09 00:00:00,218.78583,228.98825,10.202423
2010-01-09 01:00:00,159.48001,169.68243,10.202423
2010-01-09 02:00:00,116.099434,126.30186,10.202423
2010-01-09 03:00:00,141.54218,151.7446,10.202423
2010-01-09 04:00:00,152.43024,162.63266,10.202423
2010-01-09 05:00:00,197.81703,208.01945,10.202423
2010-01-09 06:00:00,190.20067,200.40309,10.202423
2010-01-09 07:00:00,192.99722,203.19965,10.202423
2010-01-09 08:00:00,205.87111,216.07353,10.202423
2010-01-09 09:00:00,214.9628,225.16522,10.202423
2010-01-09 10:00:00,172.03893,182.24135,10.202423
2010-01-09 11:00:00,169.00063,179.20305,10.202423
2010-01-09 12:00:00,183.09952,193.30194,10.202423
2010-01-09 13:00:00,195.29657,205.499,10.202423
2010-01-09 14:00:00,153.59763,163.80005,10.202423
2010-01-09 15:00:00,145.73212,155.93454,10.202423
2010-01-09 16:00:00,132.53151,142.73393,10.202423
2010-01-09 17:00:00,134.64445,144.84688,10.202423
2010-01-09 18:00:00,155.29587,165.49829,10.202423
2010-01-09 19:00:00,192.69038,202.8928,10.202423
2010-01-09 20:00:00,208.59488,218.7973,10.202423
2010-01-09 21:00:00,232.29962,242.50204,10.202423
2010-01-09 22:00:00,185.73392,195.93634,10.202423
2010-01-09 23:00:00,181.76595,191.96837,10.202423
2010-01-10 00:00:00,192.68727,202.8897,10.202423
2010-01-10 01:00:00,135.55173,145.75415,10.202423
