hour,lstm_mae,arima_mae,n
0,3.6288,6.2365,358
1,3.4005,5.2197,358
2,3.0737,4.601,358
3,3.032,3.7565,358
4,2.4522,3.1525,358
5,3.7413,4.8029,358
6,3.8954,4.814,358
7,4.264,7.6379,358
8,4.5398,5.0661,358
9,5.2805,9.468,358
10,3.8081,8.4324,358
11,3.3504,7.891,358
12,2.8503,6.9237,358
13,2.9056,5.5639,358
14,2.8476,4.8068,358
15,2.7044,4.7008,358
16,3.3219,4.84,358
17,3.8733,4.6121,358
18,4.4607,5.5692,358
19,4.4483,6.578,358
20,4.5511,5.5959,358
21,4.1891,6.2656,358
22,3.856,5.5724,358
23,3.7572,5.7472,358
