hour,lstm_mae,arima_mae,n
0,22.2379,15.0398,358
1,16.6939,14.1445,358
2,14.5248,12.032,358
3,11.9504,8.0768,358
4,9.9678,10.0343,358
5,8.5086,6.2017,358
6,8.6099,7.0687,358
7,9.0778,8.3938,358
8,11.489,8.8903,358
9,22.4133,17.3525,358
10,27.3729,25.7351,358
11,26.8174,21.7345,358
12,19.2784,17.032,358
13,16.8832,17.3095,358
14,14.0184,14.3981,358
15,16.3613,14.2213,358
16,16.2862,15.4123,358
17,16.5358,15.0187,358
18,17.7561,13.8082,358
19,17.4883,13.5345,358
20,17.0617,13.5018,358
21,22.3182,14.3051,358
22,24.7249,15.9487,358
23,27.1617,20.133,358
