proxy,bin,mean_proxy,mean_error,n
P1,0,23.298,14.2667,860
P1,1,34.6618,14.1133,859
P1,2,43.0913,13.0273,859
P1,3,51.5416,14.5263,859
P1,4,60.7061,15.4616,859
P1,5,71.4391,16.3547,859
P1,6,84.3807,16.9418,859
P1,7,101.2718,18.6533,859
P1,8,131.1164,20.3736,859
P1,9,309.7104,29.4118,860
P2,0,78.5236,16.079,1493
P2,1,78.5236,17.4815,6001
P2,2,78.5236,16.8996,680
P2,3,78.5236,19.9964,418
P3,0,13.0808,12.5788,860
P3,1,14.9961,12.9072,859
P3,2,16.4073,14.1715,859
P3,3,17.8369,15.3395,859
P3,4,19.5063,16.2028,859
P3,5,21.3227,17.6765,859
P3,6,23.7692,18.3184,859
P3,7,26.2179,21.0334,859
P3,8,30.0003,21.3695,859
P3,9,40.4915,23.5415,860
